timestamp,buyer,seller,symbol,currency,price,quantity
0,SUBMISSION,,VEV_5100,XIRECS,204.0,7
0,SUBMISSION,,VEV_5200,XIRECS,121.0,14
0,SUBMISSION,,VEV_5200,XIRECS,121.0,7
0,SUBMISSION,,VEV_5300,XIRECS,59.0,7
100,SUBMISSION,,VEV_5100,XIRECS,205.0,20
100,SUBMISSION,,VEV_5100,XIRECS,205.0,7
100,SUBMISSION,,VEV_5200,XIRECS,121.0,7
100,SUBMISSION,,VEV_5300,XIRECS,60.0,10
100,SUBMISSION,,VEV_5300,XIRECS,60.0,8
200,SUBMISSION,,VEV_5100,XIRECS,205.0,6
200,SUBMISSION,,VEV_5200,XIRECS,122.0,14
200,SUBMISSION,,VEV_5200,XIRECS,122.0,6
200,SUBMISSION,,VEV_5300,XIRECS,60.0,14
200,SUBMISSION,,VEV_5300,XIRECS,60.0,7
300,SUBMISSION,,VEV_5100,XIRECS,205.0,12
300,SUBMISSION,,VEV_5200,XIRECS,122.0,18
300,SUBMISSION,,VEV_5200,XIRECS,122.0,7
300,SUBMISSION,,VEV_5300,XIRECS,60.0,19
300,SUBMISSION,,VEV_5300,XIRECS,60.0,8
400,SUBMISSION,,VEV_5100,XIRECS,204.0,3
400,SUBMISSION,,VEV_5200,XIRECS,121.0,13
400,SUBMISSION,,VEV_5200,XIRECS,121.0,11
400,SUBMISSION,,VEV_5300,XIRECS,59.0,9
400,SUBMISSION,,VEV_5400,XIRECS,21.0,19
400,SUBMISSION,,VEV_5400,XIRECS,21.0,9
500,SUBMISSION,,VEV_5100,XIRECS,203.0,3
500,SUBMISSION,,VEV_5200,XIRECS,120.0,8
500,SUBMISSION,,VEV_5300,XIRECS,59.0,16
500,SUBMISSION,,VEV_5300,XIRECS,59.0,10
500,SUBMISSION,,VEV_5400,XIRECS,21.0,16
500,SUBMISSION,,VEV_5400,XIRECS,21.0,10
600,SUBMISSION,,VEV_5200,XIRECS,121.0,13
600,SUBMISSION,,VEV_5200,XIRECS,121.0,7
600,SUBMISSION,,VEV_5300,XIRECS,59.0,20
600,SUBMISSION,,VEV_5300,XIRECS,59.0,9
600,SUBMISSION,,VEV_5400,XIRECS,21.0,20
600,SUBMISSION,,VEV_5400,XIRECS,21.0,9
700,SUBMISSION,,VEV_5200,XIRECS,121.0,8
700,SUBMISSION,,VEV_5300,XIRECS,60.0,18
700,SUBMISSION,,VEV_5300,XIRECS,60.0,5
800,SUBMISSION,,VEV_5200,XIRECS,122.0,6
800,SUBMISSION,,VEV_5300,XIRECS,60.0,10
800,SUBMISSION,,VEV_5300,XIRECS,60.0,5
900,SUBMISSION,,VEV_5200,XIRECS,122.0,13
900,SUBMISSION,,VEV_5200,XIRECS,122.0,9
900,SUBMISSION,,VEV_5300,XIRECS,60.0,17
