day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
3,0,VELVETFRUIT_EXTRACT,5293,64,,,,,5298,22,5299.0,42.0,,,5295.5,0.0
3,0,VEV_5100,199,21,,,,,204,7,205.0,14.0,,,201.5,0.0
3,0,VEV_5200,118,7,117.0,14.0,,,121,21,,,,,119.5,0.0
3,0,VEV_5000,293,21,,,,,300,7,301.0,14.0,,,296.5,0.0
3,0,VEV_5500,6,21,,,,,8,21,,,,,7.0,0.0
3,0,VEV_5300,57,21,,,,,59,7,60.0,14.0,,,58.0,0.0
3,0,VEV_5400,20,21,,,,,21,21,,,,,20.5,0.0
3,100,VELVETFRUIT_EXTRACT,5294,16,5293.0,37.0,,,5299,53,,,,,5296.5,0.0
3,100,VEV_5100,202,4,200.0,7.0,199.0,20.0,205,27,,,,,203.5,-12.990478515625
3,100,VEV_5200,119,4,118.0,27.0,,,121,7,122.0,20.0,,,120.0,-27.3330078125
3,100,VEV_5000,297,4,294.0,7.0,293.0,20.0,301,7,302.0,20.0,,,299.0,0.0
3,100,VEV_5500,7,4,6.0,18.0,,,8,18,,,,,7.5,0.0
3,100,VEV_5300,58,4,57.0,18.0,,,60,18,,,,,59.0,-3.42791748046875
3,100,VEV_5400,20,22,,,,,21,18,,,,,20.5,0.0
3,200,VEV_5100,200,6,199.0,14.0,,,205,6,206.0,14.0,,,202.5,-78.0849609375
3,200,VEV_5200,118,20,,,,,122,20,,,,,120.0,-28.248291015625
3,200,VEV_5000,294,20,,,,,301,6,302.0,14.0,,,297.5,0.0
3,200,VEV_5500,7,7,6.0,14.0,,,8,21,,,,,7.5,0.0
3,200,VEV_5300,57,21,,,,,60,21,,,,,58.5,-25.6551513671875
3,200,VEV_5400,20,21,,,,,21,21,,,,,20.5,0.0
3,200,VELVETFRUIT_EXTRACT,5294,20,5293.0,42.0,,,5299,20,5300.0,42.0,,,5296.5,0.0
3,300,VEV_5500,6,27,,,,,8,27,,,,,7.0,0.0
3,300,VEV_5300,57,27,,,,,60,27,,,,,58.5,-56.9794921875
3,300,VEV_5400,20,27,,,,,21,27,,,,,20.5,0.0
3,300,VELVETFRUIT_EXTRACT,5294,23,5293.0,42.0,,,5299,23,5300.0,42.0,,,5296.5,0.0
3,300,VEV_5100,200,7,199.0,18.0,,,205,25,,,,,202.5,-99.65771484375
3,300,VEV_5200,118,25,,,,,122,25,,,,,120.0,-75.3193359375
3,300,VEV_5000,294,7,293.0,18.0,,,301,7,302.0,18.0,,,297.5,0.0
