day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
4,0,VEV_5000,232,11,231,12,,,238,23,,,,,235.0,0.0
4,0,VEV_4000,1223,9,1220,21,,,1243,9,1246,21,,,1233.0,0.0
4,0,VEV_5100,140,23,,,,,144,11,145,12,,,142.0,0.0
4,0,VEV_6000,0,23,,,,,1,23,,,,,0.5,0.0
4,0,VEV_5400,5,23,,,,,6,23,,,,,5.5,0.0
4,0,HYDROGEL_PACK,9992,12,9989,26,,,10008,12,10010,26,,,10000.0,0.0
4,0,VEV_6500,0,18,,,,,1,18,,,,,0.5,0.0
4,0,VEV_5500,1,23,,,,,2,23,,,,,1.5,0.0
4,0,VEV_5200,69,23,,,,,71,11,72,12,,,70.0,0.0
4,0,VEV_5300,26,23,,,,,27,23,,,,,26.5,0.0
4,0,VEV_4500,725,11,723,12,,,741,11,743,12,,,733.0,0.0
4,0,VELVETFRUIT_EXTRACT,5230,48,,,,,5235,16,5236,32,,,5232.5,0.0
4,100,VEV_5400,5,28,,,,,6,28,,,,,5.5,0.0
4,100,VEV_6500,0,17,,,,,1,17,,,,,0.5,0.0
4,100,VEV_5500,1,28,,,,,2,28,,,,,1.5,0.0
4,100,VEV_5200,70,9,69,13,,,72,22,,,,,71.0,0.0
4,100,VEV_5300,26,28,,,,,28,28,,,,,27.0,0.0
4,100,VEV_4500,726,9,724,13,,,742,9,743,13,,,734.0,0.0
4,100,HYDROGEL_PACK,9989,13,9986,25,,,10005,13,10007,25,,,9997.0,0.0
4,100,VELVETFRUIT_EXTRACT,5231,63,,,,,5236,18,5237,45,,,5233.5,0.0
4,100,VEV_5000,233,9,232,13,,,239,22,,,,,236.0,0.0
4,100,VEV_4000,1223,11,1221,20,,,1244,11,1247,20,,,1233.5,0.0
4,100,VEV_5100,141,22,,,,,145,22,,,,,143.0,0.0
4,100,VEV_6000,0,28,,,,,1,28,,,,,0.5,0.0
4,200,VEV_4500,724,6,723,15,,,740,6,742,15,,,732.0,0.0
4,200,VELVETFRUIT_EXTRACT,5230,21,5229,45,,,5232,6,5235,66,,,5231.0,0.0
4,200,VEV_5000,231,21,,,,,237,6,238,15,,,234.0,0.0
4,200,VEV_4000,1222,12,1219,26,,,1243,12,1245,26,,,1232.5,0.0
4,200,VEV_5100,140,21,,,,,144,21,,,,,142.0,0.0
4,200,VEV_6000,0,20,,,,,1,20,,,,,0.5,0.0
4,200,VEV_5400,5,20,,,,,6,20,,,,,5.5,0.0
4,200,HYDROGEL_PACK,9990,10,9988,21,,,10006,10,10009,21,,,9998.0,0.0
4,200,VEV_6500,0,15,,,,,1,15,,,,,0.5,0.0
4,200,VEV_5500,1,20,,,,,2,20,,,,,1.5,0.0
4,200,VEV_5200,69,6,68,15,,,71,21,,,,,70.0,0.0
4,200,VEV_5300,25,20,,,,,27,20,,,,,26.0,0.0
4,300,HYDROGEL_PACK,9987,14,9985,26,,,10003,14,10006,26,,,9995.0,0.0
4,300,VELVETFRUIT_EXTRACT,5230,53,,,,,5236,53,,,,,5233.0,0.0
4,300,VEV_5000,232,12,231,20,,,238,32,,,,,235.0,0.0
4,300,VEV_4000,1223,10,1220,27,,,1243,10,1246,27,,,1233.0,0.0
4,300,VEV_5100,140,32,,,,,144,12,145,20,,,142.0,0.0
4,300,VEV_6000,0,19,,,,,1,19,,,,,0.5,0.0
4,300,VEV_5500,1,19,,,,,2,19,,,,,1.5,0.0
4,300,VEV_5400,5,19,,,,,6,19,,,,,5.5,0.0
4,300,VEV_6500,0,15,,,,,1,15,,,,,0.5,0.0
4,300,VEV_5300,26,19,,,,,27,19,,,,,26.5,0.0
4,300,VEV_5200,69,32,,,,,71,12,72,20,,,70.0,0.0
4,300,VEV_4500,725,12,723,20,,,741,12,743,20,,,733.0,0.0
4,400,VEV_5100,141,23,,,,,145,6,146,17,,,143.0,0.0
4,400,VEV_4000,1224,14,1221,18,,,1244,14,1247,18,,,1234.0,0.0
4,400,VEV_5000,233,6,232,17,,,239,23,,,,,236.0,0.0
4,400,VEV_6000,0,28,,,,,1,28,,,,,0.5,0.0
4,400,HYDROGEL_PACK,9986,12,9983,28,,,10002,12,10004,28,,,9994.0,0.0
4,400,VEV_5500,1,28,,,,,2,28,,,,,1.5,0.0
4,400,VEV_5400,5,28,,,,,6,28,,,,,5.5,0.0
4,400,VEV_6500,0,14,,,,,1,14,,,,,0.5,0.0
4,400,VEV_5300,26,28,,,,,28,28,,,,,27.0,0.0
4,400,VEV_5200,70,6,69,17,,,72,23,,,,,71.0,0.0
