timestamp,sandboxLog,lambdaLog
0,,"mid=10000.0 dyn_mean=10000.0 z=0.00 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9992(✓) ask@10008(✓) qty=1"
100,,"mid=9997.0 dyn_mean=10000.0 z=-0.09 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9989(✓) ask@10005(✓) qty=1"
200,,"mid=9998.0 dyn_mean=10000.0 z=-0.06 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9990(✓) ask@10006(✓) qty=1"
300,,"mid=9995.0 dyn_mean=10000.0 z=-0.16 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9987(✓) ask@10003(✓) qty=1"
400,,"mid=9994.0 dyn_mean=10000.0 z=-0.19 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9986(✓) ask@10002(✓) qty=1"
500,,"mid=9994.0 dyn_mean=10000.0 z=-0.19 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9986(✓) ask@10002(✓) qty=1"
600,,"mid=9991.0 dyn_mean=10000.0 z=-0.28 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9983(✓) ask@9999(✓) qty=1"
700,,"mid=9992.0 dyn_mean=10000.0 z=-0.25 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9984(✓) ask@10000(✓) qty=1"
800,,"mid=9991.0 dyn_mean=10000.0 z=-0.28 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9983(✓) ask@9999(✓) qty=1"
900,,"mid=9989.0 dyn_mean=9999.9 z=-0.34 mom=0.0 trend=0.00 regime=MILD_REVERSION target=6 pos_orig=0 took=0 gap=6 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
1000,,"mid=9990.0 dyn_mean=9999.9 z=-0.31 mom=0.0 trend=0.00 regime=MILD_REVERSION target=1 pos_orig=0 took=0 gap=1 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9982(✓) ask@9998(✓) qty=1"
1100,,"mid=9989.0 dyn_mean=9999.9 z=-0.34 mom=0.0 trend=0.00 regime=MILD_REVERSION target=6 pos_orig=0 took=0 gap=6 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
1200,,"mid=9991.0 dyn_mean=9999.9 z=-0.28 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9983(✓) ask@9999(✓) qty=1"
1300,,"mid=9990.0 dyn_mean=9999.9 z=-0.31 mom=0.0 trend=0.00 regime=MILD_REVERSION target=1 pos_orig=0 took=0 gap=1 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9982(✓) ask@9998(✓) qty=1"
1400,,"mid=9988.0 dyn_mean=9999.9 z=-0.37 mom=0.0 trend=0.00 regime=MILD_REVERSION target=11 pos_orig=0 took=0 gap=11 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
1500,,"mid=9987.0 dyn_mean=9999.9 z=-0.40 mom=0.0 trend=0.00 regime=MILD_REVERSION target=17 pos_orig=0 took=0 gap=17 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
1600,,"mid=9987.0 dyn_mean=9999.9 z=-0.40 mom=0.0 trend=0.00 regime=MILD_REVERSION target=16 pos_orig=0 took=0 gap=16 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
